ID,Task
100721,0
30234,0
28624,0
31173,0
573,0
120056,0
43057,0
28966,0
90691,0
141570,0
114054,0
85342,0
6334,0
133967,0
108591,0
77309,0
25459,0
73483,0
10039,0
22268,0
126033,0
67031,0
1697,0
122067,0
48227,0
56194,0
93175,0
13968,0
116728,0
145229,0
74672,0
90560,0
118290,0
11832,0
68400,0
79909,0
21978,0
5567,0
127638,0
33925,0
93338,0
43176,0
8286,0
28758,0
129771,0
29040,0
57032,0
79007,0
105986,0
56568,0
45901,0
89922,0
52193,0
71589,0
5241,0
14771,0
31622,0
46122,0
75461,0
10439,0
89984,0
87993,0
21243,0
109664,0
78476,0
81872,0
126095,0
92015,0
90300,0
63022,0
97244,0
79891,0
127488,0
24258,0
62955,0
110422,0
109299,0
84592,0
81256,0
142291,0
56007,0
29156,0
40551,0
10120,0
72184,0
142254,0
75356,0
112070,0
11494,0
119984,0
74064,0
49473,0
43501,0
82308,0
51895,0
122944,0
83180,0
84154,0
82325,0
41894,0
87368,0
55649,0
31014,0
127991,0
111438,0
7090,0
108522,0
31302,0
69140,0
137667,0
112925,0
76753,0
32865,0
45754,0
78528,0
115129,0
26002,0
70252,0
105895,0
27348,0
136776,0
79929,0
47079,0
119295,0
9067,0
128469,0
63748,0
91688,0
12474,0
37007,0
70986,0
141421,0
28255,0
11471,0
28126,0
140782,0
100839,0
22672,0
58850,0
82206,0
129720,0
21580,0
41016,0
14221,0
117754,0
33631,0
100915,0
73112,0
64647,0
14733,0
121525,0
102236,0
78634,0
43191,0
70095,0
78449,0
98160,0
76816,0
109555,0
54022,0
61809,0
36708,0
26963,0
19379,0
42611,0
48552,0
101640,0
64497,0
137138,0
47222,0
77284,0
110587,0
25277,0
116488,0
71459,0
136135,0
47446,0
98945,0
141507,0
138899,0
51140,0
112109,0
113559,0
74775,0
104499,0
93636,0
57406,0
18576,0
12944,0
107222,0
66217,0
3506,0
132274,0
98886,0
99213,0
22726,0
32296,0
50418,0
118985,0
132230,0
7524,0
65468,0
24777,0
41714,0
93126,0
9732,0
14234,0
38166,0
87289,0
99403,0
35683,0
37870,0
80199,0
142734,0
102980,0
11786,0
142110,0
115677,0
137590,0
54201,0
77398,0
32677,0
18818,0
79263,0
42122,0
47889,0
102467,0
56730,0
53048,0
4537,0
98514,0
19211,0
74320,0
1812,0
115807,0
98946,0
2941,0
127104,0
31813,0
30885,0
137741,0
138491,0
81415,0
136952,0
68543,0
46469,0
122125,0
41197,0
46641,0
58177,0
